response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Push Away,Black,Female,20.0,Tensed,4,Harrison
1/5/2016 21:53,Assault in Progress ,No,DASLT5,No,Bodily Force,Knees,Native American,Male,42.0,Tensed,3,Midtown Phillips
1/5/2016 21:53,Assault in Progress ,No,DASLT5,No,Bodily Force,Punches,Native American,Male,42.0,Tensed,3,Midtown Phillips
1/5/2016 21:53,Assault in Progress ,No,DASLT5,No,Bodily Force,Body Weight to Pin,Native American,Male,42.0,Tensed,3,Midtown Phillips
1/5/2016 21:53,Assault in Progress ,No,DASLT5,No,Bodily Force,Knees,Native American,Male,42.0,Tensed,3,Midtown Phillips
1/5/2016 21:53,Assault in Progress ,No,DASLT5,No,Bodily Force,Punches,Native American,Male,42.0,Tensed,3,Midtown Phillips
1/6/2016 21:39,Motor Vehicle Chase ,No,FLEE,Yes,Bodily Force,Punches,Black,Male,27.0,Fled in Vehicle,3,Ventura Village
1/6/2016 21:39,Motor Vehicle Chase ,No,FLEE,Yes,Improvised Weapon,Flashlight,Black,Male,27.0,Fled in Vehicle,3,Ventura Village
1/6/2016 21:39,Motor Vehicle Chase ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,Black,Male,27.0,Fled in Vehicle,3,Ventura Village
1/7/2016 0:02,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Body Weight to Pin,White,Male,38.0,Tensed,2,Marcy Holmes
1/7/2016 0:02,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Punches,White,Male,38.0,Tensed,2,Marcy Holmes
1/7/2016 0:02,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Joint Lock,White,Male,38.0,Tensed,2,Marcy Holmes
1/7/2016 4:31,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Joint Lock,Black,Male,19.0,Tensed,3,Ventura Village
1/7/2016 4:31,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Body Weight to Pin,Black,Male,19.0,Tensed,3,Ventura Village
1/7/2016 4:31,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Body Weight to Pin,Black,Male,19.0,Tensed,3,Ventura Village
1/7/2016 21:22,Damage Property-In Progress,Yes,BURGTL,,Bodily Force,Body Weight to Pin,Black,Male,23.0,Fled on Foot,3,East Phillips
1/7/2016 21:22,Damage Property-In Progress,Yes,BURGTL,,Gun Point Display,Compliance,Black,Male,23.0,Fled on Foot,3,East Phillips
1/8/2016 9:26,Emotionally Disturb Person ,Yes,ASLT4,Yes,Bodily Force,Punches,Native American,Male,28.0,Assaulted Officer,4,Folwell
1/8/2016 9:26,Emotionally Disturb Person ,Yes,ASLT4,Yes,Taser,Touch,Native American,Male,28.0,Assaulted Officer,4,Folwell
1/8/2016 9:26,Emotionally Disturb Person ,Yes,ASLT4,Yes,Taser,Firing Darts,Native American,Male,28.0,Assaulted Officer,4,Folwell
1/8/2016 18:50,Poss Personal Injury Acc ,Yes,DAMPRP,,Bodily Force,Body Weight to Pin,Black,Male,26.0,Commission of Crime,5,Kenwood
1/9/2016 0:39,Person with a Gun ,Yes,DAMMV,,Chemical Irritant,Crowd Control Mace,Black,Male,24.0,Commission of Crime,1,Cedar Riverside
1/9/2016 1:57,Unknown Trouble ,Yes,DASLT5,Yes,Improvised Weapon,Flashlight,Black,Male,30.0,Commission of Crime,3,Ericsson
1/9/2016 1:57,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,30.0,Commission of Crime,3,Ericsson
1/9/2016 1:57,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Male,30.0,Commission of Crime,3,Ericsson
1/9/2016 1:57,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Knees,Black,Male,30.0,Commission of Crime,3,Ericsson
1/9/2016 1:57,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Joint Lock,Black,Male,30.0,Commission of Crime,3,Ericsson
1/9/2016 1:57,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,30.0,Commission of Crime,3,Ericsson
1/9/2016 21:46,Disturbance ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,15.0,Assaulted Officer,4,Willard - Hay
1/9/2016 21:46,Disturbance ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,15.0,Assaulted Officer,4,Willard - Hay
1/9/2016 22:45,Officer Needs Help ,No,DISCON,,Bodily Force,Push Away,Black,Male,24.0,Verbal Non-Compliance,4,Cleveland
1/9/2016 22:45,Officer Needs Help ,No,DISCON,,Bodily Force,Body Weight to Pin,Black,Male,24.0,Verbal Non-Compliance,4,Cleveland
1/10/2016 1:33,Suspicious Person ,No,DISCON,No,Bodily Force,Knees,White,Male,39.0,Tensed,1,Downtown West
1/10/2016 1:33,Suspicious Person ,No,DISCON,No,Bodily Force,Joint Lock,White,Male,39.0,Tensed,1,Downtown West
1/10/2016 1:33,Suspicious Person ,No,DISCON,No,Bodily Force,Body Weight to Pin,White,Male,39.0,Tensed,1,Downtown West
1/10/2016 1:33,Suspicious Person ,No,DISCON,No,Bodily Force,Push Away,White,Male,39.0,Tensed,1,Downtown West
1/10/2016 2:25,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,,,0.0,Unspecified,0,
1/10/2016 4:02,Check the Welfare ,Yes,CIC,Yes,Taser,Firing Darts,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road
1/10/2016 4:02,Check the Welfare ,Yes,CIC,Yes,Taser,Red Dot,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road
1/10/2016 4:02,Check the Welfare ,Yes,CIC,Yes,Taser,Display,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road
1/11/2016 19:02,Theft - Report Only ,No,SHOPLF,,Bodily Force,Joint Lock,Native American,Female,35.0,Tensed,1,Downtown West
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Joint Lock,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Improvised Weapon,Flashlight,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Gun Point Display,Compliance,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Punches,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Punches,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Joint Lock,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/11/2016 23:39,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Push Away,Black,Male,36.0,Verbal Non-Compliance,2,Como
1/12/2016 3:50,Fight ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,31.0,Commission of Crime,1,Downtown West
1/12/2016 9:55,Unwanted Person ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,56.0,Tensed,1,Downtown West
1/12/2016 9:55,Unwanted Person ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Male,56.0,Tensed,1,Downtown West
1/12/2016 21:39,Overdose-Accidental ,No,OD,,Bodily Force,Body Weight to Pin,Black,Male,37.0,Tensed,4,Hawthorne
1/12/2016 21:39,Overdose-Accidental ,No,OD,,Bodily Force,Body Weight to Pin,Black,Male,37.0,Tensed,4,Hawthorne
1/12/2016 21:39,Overdose-Accidental ,No,OD,,Bodily Force,Joint Lock,Black,Male,37.0,Tensed,4,Hawthorne
1/12/2016 21:39,Overdose-Accidental ,No,OD,,Bodily Force,Joint Lock,Black,Male,37.0,Tensed,4,Hawthorne
1/14/2016 1:59,Unwanted Person ,Yes,DAMPRP,No,Improvised Weapon,Other (specify),Black,Male,33.0,Tensed,5,Whittier
1/14/2016 1:59,Unwanted Person ,Yes,DAMPRP,No,Improvised Weapon,Other (specify),Black,Male,33.0,Tensed,5,Whittier
1/14/2016 2:07,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,18.0,Commission of Crime,1,Downtown West
1/14/2016 15:38,Suspicious Person ,No,NARC,No,Bodily Force,Body Weight to Pin,Black,Male,15.0,Tensed,4,Jordan
1/14/2016 20:29,Suspicious Person ,No,NARC,No,Bodily Force,Body Weight to Pin,Native American,Male,25.0,Tensed,3,East Phillips
1/14/2016 20:29,Suspicious Person ,No,NARC,No,Gun Point Display,Compliance,Native American,Male,25.0,Tensed,3,East Phillips
1/15/2016 0:53,Domestic ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,24.0,Commission of Crime,5,Whittier
1/15/2016 0:53,Domestic ,Yes,DASLT5,Yes,Bodily Force,Push Away,Black,Female,21.0,Tensed,5,Whittier
1/15/2016 0:53,Domestic ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Male,24.0,Commission of Crime,5,Whittier
1/15/2016 0:53,Domestic ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Female,21.0,Tensed,5,Whittier
1/15/2016 20:29,Suspicious Person ,No,NARC,,Bodily Force,Body Weight to Pin,,Male,26.0,Commission of Crime,2,St. Anthony East
1/15/2016 20:33,Suspicious Person ,No,FLEEFT,No,Taser,Firing Darts,Black,Female,36.0,Fled on Foot,1,Downtown West
1/15/2016 21:03,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Male,52.0,Assaulted Officer,3,Wenonah
1/15/2016 21:03,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,52.0,Assaulted Officer,3,Wenonah
1/15/2016 21:03,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Conscious Neck Restraint,Black,Male,52.0,Assaulted Officer,3,Wenonah
1/17/2016 1:09,Assault in Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,43.0,Tensed,2,Nicollet Island - East Bank
1/17/2016 1:09,Assault in Progress ,Yes,OBSTRU,No,Chemical Irritant,Personal Mace,Black,Female,21.0,Tensed,2,Nicollet Island - East Bank
1/17/2016 1:09,Assault in Progress ,Yes,OBSTRU,No,Chemical Irritant,Personal Mace,White,Female,46.0,Verbal Non-Compliance,2,Nicollet Island - East Bank
1/17/2016 1:09,Assault in Progress ,Yes,OBSTRU,No,Bodily Force,Push Away,Black,Male,43.0,Tensed,2,Nicollet Island - East Bank
1/17/2016 2:19,Disturbance ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,23.0,Commission of Crime,5,Lowry Hill East
1/17/2016 2:19,Disturbance ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,22.0,Commission of Crime,5,Lowry Hill East
1/17/2016 19:50,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
1/17/2016 19:50,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
1/17/2016 19:50,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
1/17/2016 19:50,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
1/17/2016 23:41,Fight ,No,NARC,No,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon
1/17/2016 23:41,Fight ,No,NARC,No,Chemical Irritant,Personal Mace,Black,Male,21.0,Tensed,4,Lind - Bohanon
1/17/2016 23:41,Fight ,No,NARC,No,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon
1/17/2016 23:41,Fight ,No,NARC,No,Bodily Force,Kicks,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon
1/19/2016 20:39,Animal Bite ,No,BURGB,Yes,Bodily Force,Knees,,Male,19.0,Assaulting Police K9,3,Hiawatha
1/19/2016 20:39,Animal Bite ,No,BURGB,Yes,Police K9 Bite,On Lead,Native American,Male,18.0,Commission of Crime,3,Hiawatha
1/19/2016 20:39,Animal Bite ,No,BURGB,Yes,Bodily Force,Kicks,,Male,19.0,Assaulting Police K9,3,Hiawatha
1/20/2016 2:03,Suspicious Vehicle ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,White,Male,28.0,Fled in Vehicle,5,East Isles
1/20/2016 2:03,Suspicious Vehicle ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,White,Male,28.0,Fled in Vehicle,5,East Isles
1/21/2016 15:25,Unwanted Person ,Yes,DISCON,No,Bodily Force,Body Weight to Pin,White,Male,38.0,Tensed,2,Marcy Holmes
1/21/2016 15:25,Unwanted Person ,Yes,DISCON,No,Bodily Force,Joint Lock,White,Male,38.0,Tensed,2,Marcy Holmes
1/22/2016 20:32,Person with a Gun ,No,TLE,No,Bodily Force,Body Weight to Pin,Black,Male,22.0,Verbal Non-Compliance,4,Lind - Bohanon
1/22/2016 20:32,Person with a Gun ,No,TLE,No,Bodily Force,Body Weight to Pin,Black,Female,0.0,Tensed,4,Lind - Bohanon
1/22/2016 20:32,Person with a Gun ,No,TLE,No,Bodily Force,Push Away,Black,Male,22.0,Verbal Non-Compliance,4,Lind - Bohanon
1/22/2016 23:53,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Knees,Black,Male,22.0,Fled on Foot,4,Willard - Hay
1/22/2016 23:53,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Joint Lock,Black,Male,22.0,Fled on Foot,4,Willard - Hay
1/22/2016 23:53,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Body Weight to Pin,Black,Male,22.0,Fled on Foot,4,Willard - Hay
1/22/2016 23:53,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Punches,Black,Male,22.0,Fled on Foot,4,Willard - Hay
1/22/2016 23:53,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Body Weight to Pin,Black,Male,22.0,Fled on Foot,4,Willard - Hay
1/23/2016 1:07,Fight ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,26.0,Assaulted Officer,1,North Loop
1/23/2016 1:07,Fight ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,26.0,Assaulted Officer,1,North Loop
1/23/2016 1:07,Fight ,No,ASLT4,Yes,Bodily Force,Punches,White,Male,26.0,Assaulted Officer,1,North Loop
1/23/2016 2:57,Disturbance ,No,FORCE,No,Chemical Irritant,Personal Mace,Black,Female,20.0,Commission of Crime,1,Downtown West
1/23/2016 9:46,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Gun Point Display,Compliance,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood
1/23/2016 9:46,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood
1/23/2016 9:46,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Bodily Force,Punches,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood
1/23/2016 23:26,Domestic Abuse-In Progress ,No,PRIORI,No,Bodily Force,Body Weight to Pin,White,Female,34.0,Tensed,4,Folwell
1/23/2016 23:26,Domestic Abuse-In Progress ,No,PRIORI,No,Bodily Force,Body Weight to Pin,White,Female,34.0,Tensed,4,Folwell
1/24/2016 1:36,Suspicious Person ,No,DISCON,Yes,Chemical Irritant,Personal Mace,Black,Male,21.0,Unspecified,5,Lowry Hill East
1/24/2016 2:41,Loud Party ,No,PARTY,No,Chemical Irritant,Personal Mace,Black,Male,22.0,Commission of Crime,2,Marcy Holmes
1/24/2016 2:41,Loud Party ,No,PARTY,No,Chemical Irritant,Personal Mace,Other / Mixed Race,Male,18.0,Commission of Crime,2,Marcy Holmes
1/25/2016 0:38,Sound of Shots Fired ,Yes,FLEE,Yes,Police K9 Bite,On Lead,Other / Mixed Race,Male,24.0,Unspecified,4,Willard - Hay
1/25/2016 11:01,Unwanted Person ,Yes,FLEEFT,Yes,Bodily Force,Kicks,Black,Male,16.0,Fled on Foot,4,Jordan
1/25/2016 11:01,Unwanted Person ,Yes,FLEEFT,Yes,Gun Point Display,Compliance,Black,Male,16.0,Fled on Foot,4,Jordan
1/25/2016 11:01,Unwanted Person ,Yes,FLEEFT,Yes,Bodily Force,Body Weight to Pin,White,Male,15.0,Fled on Foot,4,Jordan
1/25/2016 12:14,Fight ,No,ASLT2,No,Bodily Force,Kicks,Black,Male,63.0,Verbal Non-Compliance,3,Phillips West
1/25/2016 12:14,Fight ,No,ASLT2,No,Gun Point Display,Compliance,Black,Male,63.0,Verbal Non-Compliance,3,Phillips West
1/25/2016 14:18,Walk Through a Building ,Yes,OPBOTT,No,Bodily Force,Body Weight to Pin,Black,Male,48.0,Unspecified,1,Downtown West
1/25/2016 19:09,Crim Sex Conduct ,Yes,OBSTRU,Yes,Bodily Force,Joint Lock,White,Male,72.0,Tensed,3,Seward
1/25/2016 19:09,Crim Sex Conduct ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,White,Male,72.0,Tensed,3,Seward
1/27/2016 13:09,Unwanted Person ,Yes,DISCON,No,Bodily Force,Body Weight to Pin,Black,Male,55.0,Tensed,2,Audubon Park
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Chemical Irritant,Personal Mace,,,0.0,Unspecified,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Chemical Irritant,Crowd Control Mace,Black,Male,15.0,Commission of Crime,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,14.0,Tensed,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,17.0,Commission of Crime,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,17.0,Commission of Crime,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,17.0,Commission of Crime,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,17.0,Commission of Crime,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,17.0,Commission of Crime,4,Harrison
1/27/2016 14:24,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,17.0,Commission of Crime,4,Harrison
